No.,Time,Source,Destination,Protocol,Length,Info
397360,841.909517,10.41.173.107,10.236.108.72,QUIC,1284,"Protected Payload (KP0), DCID=8c33006501f726fd"
397361,841.909595,10.41.173.107,10.236.108.72,QUIC,1284,"Protected Payload (KP0), DCID=8c33006501f726fd"
397362,841.90964,10.41.173.107,10.236.108.72,QUIC,1284,"Protected Payload (KP0), DCID=8c33006501f726fd"
397363,841.909682,10.41.173.107,10.236.108.72,QUIC,1284,"Protected Payload (KP0), DCID=8c33006501f726fd"
397364,841.909726,10.41.173.107,10.236.108.72,QUIC,1284,"Protected Payload (KP0), DCID=8c33006501f726fd"
397365,841.909769,10.41.173.107,10.236.108.72,QUIC,1284,"Protected Payload (KP0), DCID=8c33006501f726fd"
397366,841.909841,10.41.173.107,10.236.108.72,QUIC,740,"Protected Payload (KP0), DCID=8c33006501f726fd"
397367,841.937485,10.35.88.127,10.59.108.53,DHCP,342,DHCP Discover - Transaction ID 0x8f0b4dfe
397368,841.955391,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
397369,842.029432,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
397370,842.029436,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
397371,842.037186,10.236.108.72,10.41.173.107,QUIC,112,Protected Payload (KP0)
397372,842.03791,10.41.173.107,10.236.108.72,QUIC,100,"Protected Payload (KP0), DCID=8c33006501f726fd"
397373,842.082218,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
397380,842.604628,10.41.173.107,10.174.157.59,QUIC,132,"Protected Payload (KP0), DCID=b72d008102e41e26"
397381,842.605891,10.41.173.107,10.174.157.59,QUIC,1284,"Protected Payload (KP0), DCID=b72d008102e41e26"
397382,842.606128,10.41.173.107,10.174.157.59,QUIC,1284,"Protected Payload (KP0), DCID=b72d008102e41e26"
397383,842.606298,10.41.173.107,10.174.157.59,QUIC,1284,"Protected Payload (KP0), DCID=b72d008102e41e26"
397384,842.606383,10.41.173.107,10.174.157.59,QUIC,388,"Protected Payload (KP0), DCID=b72d008102e41e26"
397385,842.60651,10.41.173.107,10.174.157.59,QUIC,68,"Protected Payload (KP0), DCID=b72d008102e41e26"
397386,842.67527,10.174.157.59,10.41.173.107,QUIC,80,Protected Payload (KP0)
397387,842.69074,10.41.173.107,10.174.157.59,QUIC,68,"Protected Payload (KP0), DCID=b72d008102e41e26"
397388,842.702214,10.174.157.59,10.41.173.107,QUIC,80,Protected Payload (KP0)
397390,842.706516,10.174.157.59,10.41.173.107,QUIC,464,Protected Payload (KP0)
397391,842.707648,10.41.173.107,10.174.157.59,QUIC,100,"Protected Payload (KP0), DCID=b72d008102e41e26"
397395,842.766515,10.174.157.59,10.41.173.107,QUIC,80,Protected Payload (KP0)
397424,843.589128,10.41.173.107,10.236.108.72,QUIC,100,"Protected Payload (KP0), DCID=8c33006501f726fd"
397425,843.679554,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
397426,843.679559,10.236.108.72,10.41.173.107,QUIC,80,Protected Payload (KP0)
397427,843.694298,10.41.173.107,10.236.108.72,QUIC,68,"Protected Payload (KP0), DCID=8c33006501f726fd"
