No.,Time,Source,Destination,Protocol,Length,Info
8855,2130.177588,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8856,2130.177612,10.214.183.228,10.148.138.27,QUIC,1273,Protected Payload (KP0)
8857,2130.177636,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8858,2130.177661,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8859,2130.177686,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8860,2130.177708,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8861,2130.177730,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8862,2130.177753,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8863,2130.177774,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8864,2130.177797,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8865,2130.177820,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8866,2130.177842,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8867,2130.177864,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8868,2130.177887,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8869,2130.177908,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8870,2130.177929,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8871,2130.177952,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8872,2130.177973,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8873,2130.177997,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8874,2130.178020,10.214.183.228,10.148.138.27,QUIC,1273,Protected Payload (KP0)
8875,2130.178101,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8876,2130.178138,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8877,2130.178162,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8878,2130.178186,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8879,2130.178379,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8880,2130.178434,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8881,2130.178464,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8882,2130.178486,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8883,2130.178508,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8884,2130.178530,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8885,2130.178552,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8886,2130.178573,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8887,2130.178595,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8888,2130.178617,10.214.183.228,10.148.138.27,QUIC,1273,Protected Payload (KP0)
8889,2130.178637,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8890,2130.178682,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8891,2130.178712,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8892,2130.178738,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8893,2130.178762,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8894,2130.178785,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8895,2130.178807,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
